id,project_id,name,date_deadline,description
ctn.tk_imports_finish,odoo ce 19,Finish CSV imports 02-05 (Content/Surveys list views),2026-06-12,"Gear icon > Import records from list view"
ctn.tk_19_local,odoo ce 19,Deploy local twin stack on laptop (stack-19-local.yml),2026-06-14,"localhost:8069; practice imports"
ctn.tk_19_deploy,odoo ce 19,Deploy 19.caltek.net on 48gb via Portainer,2026-06-16,"stack-19-48gb.yml + tunnel route 19.caltek.net"
ctn.tk_19_timebank_cfg,CTN TimeBanking on Odoo 19,Configure T$ currency + chart of accounts,2026-06-22,"OCA account-financial-reporting; mirrors FIFA volunteer T$ design"
ctn.tk_asntb_interop,CTN TimeBanking on Odoo 19,Map ASNTB Community Weaver export to Odoo import,2026-06-30,"Keep ASNTB membership; Odoo = CTN internal ledger"
ctn.tk_batie_mtg,STEM54 Aquaponics / ZipGrow,Meet Dr. Batie at STEM54 — nonprofit + workshop plan,2026-06-12,"Today"
ctn.tk_tilapia_files,STEM54 Aquaponics / ZipGrow,Review Bazetti/King LAUSD aquaponics files (10+),2026-06-16,"tilapia pricing.zip in ~/Downloads"
ctn.tk_wong_trifold,Dr. Wong DRESSS Engagement,Print/refresh DRESSS tri-fold for Saturday,2026-06-13,"DRESSS guide + podcast runsheet exist from Vegas-trip session"
ctn.tk_rev_501c3,Allensworth Hip-Hop Racism Awareness Gathering,Capture Rev. Washington 501(c)(3) docs -> intake record,2026-06-15,"First org in nonprofit pool; res.partner + jobs intake survey"
ctn.tk_kaos_sat,KAOS Network Media Conservation,First KAOS Saturday — define conservation workflow,2026-06-13,""
ctn.tk_archive_plan,Media Archive Cataloging,Catalog plan: archive.org collection -> Omeka items,2026-06-26,""
ctn.tk_scully_call,CTN Master Index — caltek.net Dynasty,Follow-up call with Sam Scully — collaboration scope,2026-06-19,""
ctn.tk_index_elpx,CTN Master Index — caltek.net Dynasty,Load ctn-master-index.elpx into exe.caltek.net,2026-06-18,"docker cp into exelearning container"
