"id","name","full_name"
"base.res_partner_industry_N","Administrative/Utilities","N - ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"base.res_partner_industry_A","Agriculture","A - AGRICULTURE, FORESTRY AND FISHING"
"base.res_partner_industry_F","Construction","F - CONSTRUCTION"
"base.res_partner_industry_P","Education","P - EDUCATION"
"base.res_partner_industry_D","Energy supply","D - ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
"base.res_partner_industry_R","Entertainment","R - ARTS, ENTERTAINMENT AND RECREATION"
"base.res_partner_industry_U","Extraterritorial","U - ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES"
"base.res_partner_industry_K","Finance/Insurance","K - FINANCIAL AND INSURANCE ACTIVITIES"
"base.res_partner_industry_I","Food/Hospitality","I - ACCOMMODATION AND FOOD SERVICE ACTIVITIES"
"base.res_partner_industry_Q","Health/Social","Q - HUMAN HEALTH AND SOCIAL WORK ACTIVITIES"
"base.res_partner_industry_T","Households","T - ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE"
"base.res_partner_industry_J","IT/Communication","J - INFORMATION AND COMMUNICATION"
"base.res_partner_industry_C","Manufacturing","C - MANUFACTURING"
"base.res_partner_industry_B","Mining","B - MINING AND QUARRYING"
"base.res_partner_industry_S","Other Services","S - OTHER SERVICE ACTIVITIES"
"base.res_partner_industry_O","Public Administration","O - PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY"
"base.res_partner_industry_L","Real Estate","L - REAL ESTATE ACTIVITIES"
"base.res_partner_industry_M","Scientific","M - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"base.res_partner_industry_H","Transportation/Logistics","H - TRANSPORTATION AND STORAGE"
"base.res_partner_industry_E","Water supply","E - WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
"base.res_partner_industry_G","Wholesale/Retail","G - WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES"
