"id","auto_install","country_ids","id","icon","imported","module_type","to_buy","sequence"
"base.module_sale_management","","","base.module_sale_management","/sale_management/static/description/icon.png","","Official Apps","","5"
"base.module_pos_restaurant","","","base.module_pos_restaurant","/pos_restaurant/static/description/icon.png","","Official Apps","","6"
"base.module_account","","","base.module_account","/account/static/description/icon.png","","Official Apps","","10"
"base.module_crm","","","base.module_crm","/crm/static/description/icon.png","","Official Apps","","15"
"base.module_mrp_workorder","","","base.module_mrp_workorder","/base/static/img/icons/mrp_workorder.png","","Official Apps","True","16"
"base.module_website","","","base.module_website","/website/static/description/icon.png","","Official Apps","","20"
"base.module_stock","","","base.module_stock","/stock/static/description/icon.png","","Official Apps","","25"
"base.module_accountant","","","base.module_accountant","/base/static/img/icons/account_accountant.png","","Official Apps","True","30"
"base.module_knowledge","","","base.module_knowledge","/base/static/img/icons/knowledge.png","","Official Apps","True","30"
"base.module_purchase","","","base.module_purchase","/purchase/static/description/icon.png","","Official Apps","","35"
"base.module_point_of_sale","","","base.module_point_of_sale","/point_of_sale/static/description/icon.png","","Official Apps","","40"
"base.module_project","","","base.module_project","/project/static/description/icon.png","","Official Apps","","45"
"base.module_website_sale","","","base.module_website_sale","/website_sale/static/description/icon.png","","Official Apps","","50"
"base.module_mrp","","","base.module_mrp","/mrp/static/description/icon.png","","Official Apps","","55"
"base.module_mass_mailing","","","base.module_mass_mailing","/mass_mailing/static/description/icon.png","","Official Apps","","60"
"base.module_timesheet_grid","","","base.module_timesheet_grid","/base/static/img/icons/timesheet_grid.png","","Official Apps","True","65"
"base.module_hr_expense","","","base.module_hr_expense","/hr_expense/static/description/icon.png","","Official Apps","","70"
"base.module_web_studio","","","base.module_web_studio","/base/static/img/icons/web_studio.png","","Official Apps","True","75"
"base.module_hr_holidays","","","base.module_hr_holidays","/hr_holidays/static/description/icon.png","","Official Apps","","85"
"base.module_hr_recruitment","","","base.module_hr_recruitment","/hr_recruitment/static/description/icon.png","","Official Apps","","90"
"base.module_industry_fsm","","","base.module_industry_fsm","/base/static/img/icons/industry_fsm.png","","Official Apps","True","90"
"base.module_hr","","","base.module_hr","/hr/static/description/icon.png","","Official Apps","","95"
"base.module_data_recycle","","","base.module_data_recycle","/data_recycle/static/description/icon.png","","Official Apps","","100"
"base.module_maintenance","","","base.module_maintenance","/maintenance/static/description/icon.png","","Official Apps","","100"
"base.module_marketing_card","","","base.module_marketing_card","/marketing_card/static/description/icon.png","","Official Apps","","100"
"base.module_sign","","","base.module_sign","/base/static/img/icons/sign.png","","Official Apps","True","105"
"base.module_helpdesk","","","base.module_helpdesk","/base/static/img/icons/helpdesk.png","","Official Apps","True","110"
"base.module_sale_subscription","","","base.module_sale_subscription","/base/static/img/icons/sale_subscription.png","","Official Apps","True","115"
"base.module_quality_control","","","base.module_quality_control","/base/static/img/icons/quality_control.png","","Official Apps","True","120"
"base.module_website_slides","","","base.module_website_slides","/website_slides/static/description/icon.png","","Official Apps","","125"
"base.module_planning","","","base.module_planning","/base/static/img/icons/planning.png","","Official Apps","True","130"
"base.module_website_event","","","base.module_website_event","/website_event/static/description/icon.png","","Official Apps","","140"
"base.module_mail","","","base.module_mail","/mail/static/description/icon.png","","Official Apps","","145"
"base.module_contacts","","","base.module_contacts","/contacts/static/description/icon.png","","Official Apps","","150"
"base.module_mrp_plm","","","base.module_mrp_plm","/base/static/img/icons/mrp_plm.png","","Official Apps","True","155"
"base.module_calendar","","","base.module_calendar","/calendar/static/description/icon.png","","Official Apps","","165"
"base.module_social","","","base.module_social","/base/static/img/icons/social.png","","Official Apps","True","175"
"base.module_hr_appraisal","","","base.module_hr_appraisal","/base/static/img/icons/hr_appraisal.png","","Official Apps","True","180"
"base.module_fleet","","","base.module_fleet","/fleet/static/description/icon.png","","Official Apps","","185"
"base.module_marketing_automation","","","base.module_marketing_automation","/base/static/img/icons/marketing_automation.png","","Official Apps","True","195"
"base.module_im_livechat","","","base.module_im_livechat","/im_livechat/static/description/icon.png","","Official Apps","","210"
"base.module_appointment","","","base.module_appointment","/base/static/img/icons/appointment.png","","Official Apps","True","215"
"base.module_survey","","","base.module_survey","/survey/static/description/icon.png","","Official Apps","","220"
"base.module_web_mobile","","","base.module_web_mobile","/base/static/img/icons/web_mobile.png","","Official Apps","True","220"
"base.module_repair","","","base.module_repair","/repair/static/description/icon.png","","Official Apps","","230"
"base.module_hr_attendance","","","base.module_hr_attendance","/hr_attendance/static/description/icon.png","","Official Apps","","240"
"base.module_mass_mailing_sms","","","base.module_mass_mailing_sms","/mass_mailing_sms/static/description/icon.png","","Official Apps","","245"
"base.module_stock_barcode","","","base.module_stock_barcode","/base/static/img/icons/stock_barcode.png","","Official Apps","True","255"
"base.module_project_todo","True","","base.module_project_todo","/project_todo/static/description/icon.png","","Official Apps","","260"
"base.module_hr_skills","True","","base.module_hr_skills","/hr_skills/static/description/icon.png","","Official Apps","","270"
"base.module_voip","","","base.module_voip","/base/static/img/icons/voip.png","","Official Apps","True","280"
"base.module_lunch","","","base.module_lunch","/lunch/static/description/icon.png","","Official Apps","","300"
"base.module_website_hr_recruitment","True","","base.module_website_hr_recruitment","/website_hr_recruitment/static/description/icon.png","","Official Apps","","310"
"base.module_sale_amazon","","","base.module_sale_amazon","/base/static/img/icons/sale_amazon.png","","Official Apps","True","320"
